logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
IL7	-0.959721378074138	-1.32778717130016	-0.59165558484812	1.79024864815019	-5.34005242111163	1.08016954230853e-05	0.000977636283111137	3.40709713345901
CCDC74A	-0.888167675948581	-1.22892267608875	-0.547412675808409	2.65078328574475	-5.33799957633921	1.08624932164443e-05	0.000977636283111137	3.40177643565047
SPATS2L	-0.788506377715992	-1.09114102724159	-0.485871728190397	4.16041911586846	-5.33595758920061	1.09233104258228e-05	0.000977636283111137	3.3964837515842
HLA.B	-1.53071388949003	-2.11954602978117	-0.941881749198893	9.39985481682749	-5.32388081842717	1.12900542747838e-05	0.0010032934756244	3.36517906663673
BTN3A1	-0.816720032422347	-1.13140442191041	-0.502035642934286	4.41848339965169	-5.31525148477386	1.15596586472089e-05	0.00101364657541682	3.34280800232588
VSTM4	-0.582747080350444	-0.807292685676205	-0.358201475024684	2.7520735608928	-5.31497658347749	1.15683527761058e-05	0.00101364657541682	3.34209530103123
DCLK1	-1.15900168676668	-1.60636446189576	-0.711638911637601	2.94551910319413	-5.30578970951055	1.18627073620587e-05	0.00102936852257133	3.31827645204381
PC	0.807535556770297	0.49564144207657	1.11942967146402	4.16661652325652	5.3024951862467	1.19700886267068e-05	0.00102936852257133	3.30973415802683
SAMHD1	-1.39305541640842	-1.93142753737863	-0.854683295438212	3.27359012919683	-5.29921621623663	1.20779319549248e-05	0.00102936852257133	3.30123189895309
ANK3	1.72774441224064	1.06002401204783	2.39546481243345	4.13174223554678	5.2992042728517	1.20783265432601e-05	0.00102936852257133	3.3012009296276
LPP	-0.620435532162411	-0.86055931182204	-0.380311752502781	6.0336984696602	-5.29160355939922	1.23320839014134e-05	0.00102936852257133	3.28149142846954
